departamento,nombre_entidad,sector,orden,rama,entidad_centralizada,tipo_de_contrato,modalidad_de_contratacion,estado_contrato,es_pyme,destino_gasto,valor_del_contrato,valor_pagado,fecha_de_firma,fecha_de_inicio_del_contrato,fecha_de_fin_del_contrato,objeto_del_contrato,descripcion_del_proceso,duracion_dias,anio_firma,mes_firma,es_directa,valor_promedio_depto,n_contratos_depto,ratio_vs_depto
Distrito Capital de Bogotá,REGIONAL DE ASEGURAMIENTO EN SALUD No. 1,defensa,Territorial,Ejecutivo,Centralizada,Suministros,Mínima cuantía,En ejecución,Si,,80000000,0,2026-05-14T00:00:00.000Z,2026-05-20T00:00:00.000Z,2026-12-31T00:00:00.000Z,EL SUMINISTRO Y DISTRIBUCIÓN DE PRODUCTOS CON REGISTRO SANITARIO COSMÉTICOS ORDENADOS POR TUTELA PARA USUARIOS DEL SUBSISTEMA DE LA POLICÍA NACIONAL SEGÚN NECESIDAD DE LA REGIONAL DE ASEGURAMIENTO EN SALUD N. 1,EL SUMINISTRO Y DISTRIBUCIÓN DE PRODUCTOS CON REGISTRO SANITARIO COSMÉTICOS ORDENADOS POR TUTELA PARA USUARIOS DEL SUBSISTEMA DE LA POLICÍA NACIONAL SEGÚN NECESIDAD DE LA REGIONAL DE ASEGURAMIENTO EN SALUD N. 1,225,2026,5,0,5.57940873615632E8,8393,0.14
Antioquia,MUNICIPIO DE ENTRERRIOS,No aplica/No pertenece,Territorial,Ejecutivo,Centralizada,Suministros,Mínima cuantía,En ejecución,Si,,49000000,0,2026-05-14T00:00:00.000Z,2026-05-19T00:00:00.000Z,2026-07-03T00:00:00.000Z,Suministro de uniformes deportivos destinados a los deportistas que hacen parte de los procesos deportivos y que representan al Municipio de Entrerríos en los diferentes eventos; torneos y competencias deportivas organizadas por la Secretaria de Recreación y Deportes a nivel municipal; subregional; departamental y nacional,Suministro de uniformes deportivos destinados a los deportistas que hacen parte de los procesos deportivos y que representan al Municipio de Entrerríos en los diferentes eventos; torneos y competencias deportivas organizadas por la Secretaria de Recreación y Deportes a nivel municipal; subregional;,45,2026,5,0,3.077974599038113E8,4959,0.16
Cundinamarca,CARCEL Y PENITENCIARIA DE MEDIA SEGURIDAD DE GIRARDOT,Ley de Justicia,Nacional,Ejecutivo,Centralizada,Compraventa,Mínima cuantía,En ejecución,Si,,60342000,0,2026-05-14T00:00:00.000Z,2026-05-14T00:00:00.000Z,2026-12-14T00:00:00.000Z,COMPRA DE EQUIPOS PARA EL FORTALECIMIENTO DE LA MICROEMPRESA CORRECTIVO DE LA ACTIVIDAD PRODUCTIVA FORTALECIMIENTO MICROEMPRESA; POR PRECIOS UNITARIOS Y MONTO AGOTABLE PARA EL PROYECTO PRODUCTIVO MICROEMPRESA DE LA CARCEL Y PENITENCIARIA DE MEDIA SEGURIDAD DE GIRARDOT; INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO INPEC,COMPRA DE EQUIPOS PARA EL FORTALECIMIENTO DE LA MICROEMPRESA CORRECTIVO DE LA ACTIVIDAD PRODUCTIVA FORTALECIMIENTO MICROEMPRESA; POR PRECIOS UNITARIOS Y MONTO AGOTABLE PARA EL PROYECTO PRODUCTIVO MICROEMPRESA DE LA CARCEL Y PENITENCIARIA DE MEDIA SEGURIDAD DE GIRARDOT; INSTITUTO NACIONAL PENITENCIAR,214,2026,5,0,2.1014358096011004E8,3635,0.29
Magdalena,ALEJANDRO PROSPERO REVEREND E.S.E.,Salud y Protección Social,Territorial,Corporación Autónoma,Centralizada,Prestación de servicios,Contratación régimen especial,En ejecución,No,,7200000,0,2026-05-14T00:00:00.000Z,2026-05-14T00:00:00.000Z,2026-07-31T00:00:00.000Z,"PRESTAR SUS SERVICIOS COMO TECNICO DE SISTEMAS PARA LA EJECUCIÓN DE LAS ACCIONES QUE
INTEGRAN EL PLAN DE SALUD PUBLICA DIRIGIDAS A LA POBLACIÓN DEL DISTRITO DE SANTA MARTA EN
EL MARCO DEL CONVENIO INTERADMINISTRATIVO PIC 2026. ASIS-137","PRESTAR SUS SERVICIOS COMO TECNICO DE SISTEMAS PARA LA EJECUCIÓN DE LAS ACCIONES QUE
INTEGRAN EL PLAN DE SALUD PUBLICA DIRIGIDAS A LA POBLACIÓN DEL DISTRITO DE SANTA MARTA EN
EL MARCO DEL CONVENIO INTERADMINISTRATIVO PIC 2026. ASIS-137",78,2026,5,1,7.677943580718768E7,3506,0.09
Meta,ALCALDIA MUNICIPIO DE VILLAVICENCIO,No aplica/No pertenece,Territorial,Ejecutivo,Centralizada,Prestación de servicios,Mínima cuantía,En ejecución,Si,,12000000,0,2026-05-12T00:00:00.000Z,2026-05-13T00:00:00.000Z,2026-09-12T00:00:00.000Z,PRESTACIÓN DE SERVICIOS PARA LA DIVULGACIÓN Y PROMOCIÓN RADIAL EN FRECUENCIA MODULADA (FM) DE LOS PROGRAMAS; PROYECTOS Y DEMÁS TEMAS DE INTERES PUBLICO DE LA ALCALDÍA DE VILLAVICENCIO,PRESTACIÓN DE SERVICIOS PARA LA DIVULGACIÓN Y PROMOCIÓN RADIAL EN FRECUENCIA MODULADA (FM) DE LOS PROGRAMAS; PROYECTOS Y DEMÁS TEMAS DE INTERES PUBLICO DE LA ALCALDÍA DE VILLAVICENCIO,122,2026,5,0,2.278074871755618E8,2136,0.05
Santander,DANE - TERRITORIAL CENTRO ORIENTE,Información Estadística,Nacional,Ejecutivo,Centralizada,Prestación de servicios,Mínima cuantía,En ejecución,Si,,5000000,0,2026-05-12T00:00:00.000Z,2026-05-15T00:00:00.000Z,2026-11-30T00:00:00.000Z,3057502726_FUNC_A_02_SERVICIOS_MANTENIMIENTO_2026_INS_PRESTACIÓN DE SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO CON SUMINISTRO DE REPUESTOS PARA EL VEHÍCULO ASIGNADO A LA TERRITORIAL CENTRO ORIENTE DEL DANE EN LA VIGENCIA 2026.,3057502726_FUNC_A_02_SERVICIOS_MANTENIMIENTO_2026_INS_PRESTACIÓN DE SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO CON SUMINISTRO DE REPUESTOS PARA EL VEHÍCULO ASIGNADO A LA TERRITORIAL CENTRO ORIENTE DEL DANE EN LA VIGENCIA 2026.,199,2026,5,0,2.540564492865275E8,2635,0.02
Bolívar,ESE HOSPITAL SAN ANTONIO DE PADUA DE SIMITI,Salud y Protección Social,Territorial,Corporación Autónoma,Centralizada,Prestación de servicios,Contratación régimen especial,En ejecución,No,,450000000,0,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,2026-05-30T00:00:00.000Z,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MÉDICO ESPECIALISTA EN OFTALMOLOGÍA PARA LA ATENCIÓN EN SALUD DE LOS USUARIOS DE LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE PADUA,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MÉDICO ESPECIALISTA EN OFTALMOLOGÍA PARA LA ATENCIÓN EN SALUD DE LOS USUARIOS DE LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE PADUA,18,2026,5,1,3.8163337750031626E8,1581,1.18
Caldas,MUNICIPIO DE MANIZALES,Servicio Público,Territorial,Ejecutivo,Centralizada,Prestación de servicios,Mínima cuantía,En ejecución,Si,,100000000,0,2026-05-11T00:00:00.000Z,2026-05-19T00:00:00.000Z,2026-08-18T00:00:00.000Z,MODERNIZACION DEL SISTEMA SEMAFORICO EN SUS COMPONENTES PEATONALES Y VEHICULARES A TRAVES DEL CENTRO DE GESTION DE MOVILIDAD - CGM; DEL MUNICIPIO DE MANIZALES,MODERNIZACION DEL SISTEMA SEMAFORICO EN SUS COMPONENTES PEATONALES Y VEHICULARES A TRAVES DEL CENTRO DE GESTION DE MOVILIDAD - CGM; DEL MUNICIPIO DE MANIZALES,91,2026,5,0,1.3881947553267974E8,1836,0.72
,GOBERNACION DEL CHOCÓ.,No aplica/No pertenece,Territorial,Ejecutivo,Descentralizada,Decreto 092 de 2017,Contratación régimen especial (con ofertas),En ejecución,Si,,1418953811,0,2026-05-11T00:00:00.000Z,2026-05-12T00:00:00.000Z,2026-09-11T00:00:00.000Z,AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; FINANCIEROS TECNOLÓGICOS Y PEDAGÓGICOS PARA FORTALECER LA IMPLEMENTACIÓN DEL PROCESO DE EDUCACIÓN INCLUSIVA EN LOS MUNICIPIOS NO CERTIFICADOS DEL DEPARTAMENTO DEL CHOCÓ; EN ARAS DE GARANTIZAR UNA ATENCIÓN EDUCATIVA A ESTUDIANTES CON CAPACIDADES O TALENTOS EXCEPCIONALES REGISTRADOS EN EL SIMAT,AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; FINANCIEROS TECNOLÓGICOS Y PEDAGÓGICOS PARA FORTALECER LA IMPLEMENTACIÓN DEL PROCESO DE EDUCACIÓN INCLUSIVA EN LOS MUNICIPIOS NO CERTIFICADOS DEL DEPARTAMENTO DEL CHOCÓ; EN ARAS DE GARANTIZAR UNA ATENCIÓN EDUCATIVA A ESTUDIANTES CON CAPACIDADES O TALENTOS E,122,2026,5,1,,,
Amazonas,GOBERNACION DEL AMAZONAS,Servicio Público,Territorial,Ejecutivo,Centralizada,Consultoría,Mínima cuantía,En ejecución,Si,,46903643,0,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z,2026-06-07T00:00:00.000Z,CONSULTORÍA PARA LA REALIZACIÓN DE ESTUDIOS Y DISEÑOS DE URBANISMO PERTENECIENTES AL PROYECTO DE REHABILITACIÓN Y MODERNIZACIÓN DE LA CARRERA 10 o AVENIDA VÁSQUEZ COBO DEL MUNICIPIO DE LETICIA DEPARTAMENTO DEL AMAZONAS,CONSULTORÍA PARA LA REALIZACIÓN DE ESTUDIOS Y DISEÑOS DE URBANISMO PERTENECIENTES AL PROYECTO DE REHABILITACIÓN Y MODERNIZACIÓN DE LA CARRERA 10 o AVENIDA VÁSQUEZ COBO DEL MUNICIPIO DE LETICIA DEPARTAMENTO DEL AMAZONAS,30,2026,5,0,3.4365274789344263E8,122,0.14
